rank,spotify_id,track_name,artists,search_query
1,5aIVCx5tnk0ntmdiinnYvw,Water,Tyla,Tyla Water
2,7aVBqiVYeTIgbu9o6IFT4q,Feel Nice,DJ Boat; Ghetto Boy,DJ Boat Ghetto Boy Feel Nice
3,13VXuHw3O8Yt7VwRIDqSo4,MMS,Asake; Wizkid,Asake Wizkid MMS
4,1k51Q6GFWBbsaWlBB2gnzo,Gimme Dat (feat. Wizkid),Ayra Starr; Wizkid,Ayra Starr Wizkid Gimme Dat (feat. Wizkid)
5,6oOQSvqz8JL9hUTdXQiNEo,Rahman Jago,DJ Boat; Alorman,DJ Boat Alorman Rahman Jago
6,6vFtGl6zGGz3eqD6wEF9T2,Knocking,DJ Boat; Richie Benson,DJ Boat Richie Benson Knocking
7,5GyaXqMfcIGHfmTUITFacS,With You (feat. Omah Lay),Davido; Omah Lay,Davido Omah Lay With You (feat. Omah Lay)
8,3qS4spuVywoeh9uGIpRuQh,Bout U,Rema,Rema Bout U
9,6NOrpcicPUh2eaj8bAD44u,Baby (Is it a Crime),Rema,Rema Baby (Is it a Crime)
10,2kaH2Z8ezDUKf6fNw250rZ,UNAVAILABLE (feat. Musa Keys),Davido; Musa Keys,Davido Musa Keys UNAVAILABLE (feat. Musa Keys)
11,1Cbl3Yq8rHo7hhDQmLQagU,PUSH 2 START,Tyla,Tyla PUSH 2 START
12,2j8n2hpZlEMvtrjJ7n0ZIy,Bad Girl (feat. Asake),Wizkid; Asake,Wizkid Asake Bad Girl (feat. Asake)
13,7LZkMeX1k8PXQJ0SVYn1A5,Funds (feat. ODUMODUBLVCK & Chike),Davido; ODUMODUBLVCK; Chike,Davido ODUMODUBLVCK Chike Funds (feat. ODUMODUBLVCK & Chike)
14,5hVjoL3sHepZROri63wBxP,It's Plenty,Burna Boy,Burna Boy It's Plenty
15,4DREBgUie15tAPq9KQqe2c,Laho II,Shallipopi; Burna Boy,Shallipopi Burna Boy Laho II
16,1wADwLSkYhrSmy4vdy6BRn,soso,Omah Lay,Omah Lay soso
17,7mdvPu1ZAOIgMzr3sfpAqk,My Darling,Chella,Chella My Darling
18,3w0eFAME3IxlonearUIaXJ,Ewo,Famous Pluto; Shallipopi; Zerrydl,Famous Pluto Shallipopi Zerrydl Ewo
19,2YNLzBRGyCAzHEGPO3J2Sb,Moving,Omah Lay,Omah Lay Moving
20,25Kyv5SeEenT0EETpP2hYn,Soweto (with Don Toliver, Rema and Tempoe),Victony; Rema; Tempoe; Don Toliver,Victony Rema Tempoe Don Toliver Soweto (with Don Toliver; Rema and Tempoe)
21,2WigMwGJysIh9fRnSJvpjn,KU LO SA - A COLORS SHOW,Oxlade,Oxlade KU LO SA - A COLORS SHOW
22,5YbPxJwPfrj7uswNwoF1pJ,Last Last,Burna Boy,Burna Boy Last Last
23,5Ub2eXiU36Sn5yfCAPca5I,Wrong Places,Joshua Baraka,Joshua Baraka Wrong Places
24,1whAXVGN8AdfrnoXNIXfJf,Truth or Dare,Tyla,Tyla Truth or Dare
25,7iCvoWlfuJ1y7zibnh1EW9,TaTaTa (feat. Travis Scott),Burna Boy; Travis Scott,Burna Boy Travis Scott TaTaTa (feat. Travis Scott)
26,3baPniPXS0iEII8rDUJdYP,Monalisa,Lojay; Sarz; Chris Brown,Lojay Sarz Chris Brown Monalisa
27,47hsUYxvbTlBAN3sP9dEOd,Love Me JeJe,Tems,Tems Love Me JeJe
28,2gtg4jTNUqC4akFqWZZXcV,Bundle By Bundle,Burna Boy,Burna Boy Bundle By Bundle
29,6e0YUaVAfDxUabmybOjguy,Awuke,Davido; YG Marley,Davido YG Marley Awuke
30,4GXW3Ne1jzdORKHvHjK31V,Commas,Ayra Starr,Ayra Starr Commas
31,4uLBwGnr1U3ctcDZrnVEgK,WHY LOVE,Asake,Asake WHY LOVE
32,6XpEm7VJ7TZxZTawH8BCSW,Jump,Tyla; Gunna; Skillibeng,Tyla Gunna Skillibeng Jump
33,0zVk3uuV9UhxAt48F3OL12,Holy Ghost,Omah Lay,Omah Lay Holy Ghost
34,7KxF2PRMI5LtQVLTQVFJJZ,Pepper,DJ Boat; Ghetto Boy; Afrisounds,DJ Boat Ghetto Boy Afrisounds Pepper
35,2iCI6gHilTbSiD8a138KMU,Che Che (feat. Asake),Young Jonn; Asake,Young Jonn Asake Che Che (feat. Asake)
36,1rrqJ9QkOBYJlsZgqqwxgB,Rush,Ayra Starr,Ayra Starr Rush
37,1A1ifX8sWzelNpkL5PxcHT,Last Heartbreak Song (feat. Giveon),Ayra Starr; GIVĒON,Ayra Starr GIVĒON Last Heartbreak Song (feat. Giveon)
38,0UKX2OlSnobdX77f0Y1jok,Kai!,Olamide; Wizkid,Olamide Wizkid Kai!
39,1ZedegcFMjMTyIngsQbXjb,Update,Burna Boy,Burna Boy Update
40,0u2A4QNAMUyfQbgfVR3HvK,Cough (Odo),Kizz Daniel; EMPIRE,Kizz Daniel EMPIRE Cough (Odo)
41,0PL6nMizDHRnXNWZ3hO0c9,What You Like,Michael Meka; DJ Boat; Emxbeatz,Michael Meka DJ Boat Emxbeatz What You Like
42,5ZtK8XAVnoaGdBXZWCEVCY,Lonely At The Top,Asake,Asake Lonely At The Top
43,3FskQrDXcY24ur2fCvz35O,Ye,Burna Boy,Burna Boy Ye
44,6rOqLUy3kp0PVQQEtNPpbQ,Happiness (feat. Asake & Gunna),Sarz; Asake; Gunna,Sarz Asake Gunna Happiness (feat. Asake & Gunna)
45,7msfmSm4KbVnIds5DvsGzT,Joy is Coming,Fido,Fido Joy is Coming
46,27durTCg4qj3qAbKsSVNX4,Kese (Dance),Wizkid,Wizkid Kese (Dance)
47,2ypJczNpROoMFYTN5vcv9g,Sweet Gurl,H-Money; Ne-Yo; Rotimi,H-Money Ne-Yo Rotimi Sweet Gurl
48,5CTQCPv51aLWpwTbqo8mEL,Bandana,Fireboy DML; Asake,Fireboy DML Asake Bandana
49,6XM53PbvlzhuNtJZtpl7RP,In My Bed,Rotimi; Wale,Rotimi Wale In My Bed
50,0QCIpQV3twfqo9kh0t8Zza,Shake It To The Max (FLY) - Remix,MOLIY; Silent Addy; Skillibeng; Shenseea,MOLIY Silent Addy Skillibeng Shenseea Shake It To The Max (FLY) - Remix
51,0HaRLPnr887lcQM2YQzkff,For My Hand (feat. Ed Sheeran),Burna Boy; Ed Sheeran,Burna Boy Ed Sheeran For My Hand (feat. Ed Sheeran)
52,5tpft20jhQvRlG3O7XfwWy,Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee),Tyler ICU; Tumelo_za; DJ Maphorisa; Nandipha808; Ceeka RSA; Tyrone Dee,Tyler ICU Tumelo_za DJ Maphorisa Nandipha808 Ceeka RSA Tyrone Dee Mnike (feat. DJ Maphorisa; Nandipha808; Ceeka RSA & Tyron Dee)
53,4otA4JHWkokv4qAj1Pp2U5,Money Moves,Fido,Fido Money Moves
54,5hohPxxNfGRbW0PG2R0mhd,Be There Still,Davido,Davido Be There Still
55,7yKjDDd9w01nFEOD5adoHq,Do I - Remix,Phyno; Burna Boy,Phyno Burna Boy Do I - Remix
56,4nFrcGM7MY1mpoQCC7Kefj,Me & U,Tems,Tems Me & U
57,6HTjqv0AsiZ34fOMcGCbSX,Bad Vibes (feat. Seyi Vibez),Ayra Starr; Seyi Vibez,Ayra Starr Seyi Vibez Bad Vibes (feat. Seyi Vibez)
58,1IMRi5UVOV77PsAgdWDvzh,Egwu,Chike; Mohbad,Chike Mohbad Egwu
59,10TygH7MoyZQFRMPDE2N6Z,Romeo Must Die (RMD),Ruger; BNXN,Ruger BNXN Romeo Must Die (RMD)
60,1D1M805zV8DwhYXsvJdQZx,Burning,Tems,Tems Burning
61,771KDfpsOtJPQmocQpMdkR,Fi Kan We Kan,BNXN; Rema,BNXN Rema Fi Kan We Kan
62,4ou5xyFUJX4VwX76tw1qb1,Fall,Davido,Davido Fall
63,0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),Rema; Selena Gomez,Rema Selena Gomez Calm Down (with Selena Gomez)
64,4RoKNqyZ9622tcAeNPNv5k,City Boys,Burna Boy,Burna Boy City Boys
65,4FwFYYUzsA3YN2cNeVtdgg,Blessings,DJ Boat; Vudumane,DJ Boat Vudumane Blessings
66,0pHeUkxz9WffSOZnoKW1qc,Gyae Me,DJ Boat; Supa Gaeta; Medikal,DJ Boat Supa Gaeta Medikal Gyae Me
67,0CwJSnVuQ05wuqYMZvAVGb,You Bad,Emxbeatz; DJ Boat,Emxbeatz DJ Boat You Bad
